Date,Folder,Index,fLM,dfLM,KE,dKE,MFC,dMFC,fLM T=0,dfLM T=0,KE T=0,dKE T=0,Cvib,dCvib,Svib,dSvib,Resilience,dResilience,TLM,dTLM,IF,dIF,highTIF,dhighTIF,Fvib,dFvib,Phase,P,dP,V,dV,rho,drho,KT,dKT,KS,dKS,vphi,dvphi
Apr 2012,2012Apr_DAC11_P1,FeNi_DAC11_P1,0.7843,0.0016,14.1532,0.1175,170.1402,5.6427,0.9213,0.0004,6.7273,0.0881,2.728,0.0172,3.1675,0.018,94.5485,0.8361,1283.7,11.35,1.4241,0.1364,1.4565,0.0483,3.2013,0.6035,bcc,3.78,0.05,23.078,0.031,8.217,0.011,170.5,1.2,170.5,1.2,4555.0,16.0
Apr 2012,2012Apr_DAC11_P2,FeNi_DAC11_P2,0.802,0.0017,14.296,0.1273,190.1733,6.6718,0.925,0.0004,7.111,0.0994,2.6975,0.0173,3.0235,0.0174,103.608,1.0286,1406.7,13.97,1.5898,0.1478,1.628,0.0571,7.9119,0.6664,bcc,8.08,0.03,22.542,0.02,8.412,0.008,196.3,1.7,196.3,1.7,4831.0,21.0
Apr 2012,2012Apr_DAC11_P3,FeNi_DAC11_P3,0.8261,0.0012,14.3986,0.1234,204.5871,6.3312,0.9292,0.0004,7.4149,0.0959,2.6754,0.0169,2.888,0.0166,121.6418,0.9895,1651.6,13.44,1.7088,0.1431,1.7514,0.0542,11.9563,0.6253,hcp,17.96,0.06,20.587,0.018,9.211,0.008,251.0,2.4,254.4,2.6,5255.0,27.0
Apr 2012,2012Apr_DAC11_P4,FeNi_DAC11_P4,0.8322,0.0013,14.4503,0.1411,211.945,7.6085,0.9304,0.0004,7.5443,0.112,2.6646,0.0185,2.8427,0.0178,127.7856,1.1352,1735.0,15.41,1.7689,0.1637,1.8144,0.0651,13.342,0.7237,hcp,22.79,0.17,20.211,0.03,9.383,0.014,274.1,2.1,277.5,2.3,5438.0,23.0
Apr 2012,2012Apr_DAC11_P5,FeNi_DAC11_P5,0.8564,0.0011,14.7936,0.1342,262.7611,7.7086,0.9364,0.0004,8.3308,0.1094,2.5975,0.0166,2.5967,0.015,153.5589,1.3132,2084.9,17.83,2.1672,0.1557,2.2494,0.066,21.747,0.693,hcp,40.74,1.23,19.088,0.059,9.934,0.031,356.5,1.2,359.6,1.3,6017.0,14.0
Apr 2012,2012Apr_DAC11_P6,FeNi_DAC11_P6,0.8638,0.0014,14.904,0.163,278.6688,8.8287,0.9382,0.0004,8.5866,0.1313,2.575,0.0205,2.5174,0.0182,163.6554,1.8841,2222.0,25.58,2.2954,0.1891,2.3856,0.0756,24.438,0.8252,hcp,47.92,0.6,18.724,0.037,10.128,0.02,388.3,1.0,391.3,1.1,6216.0,11.0
Apr 2012,2012Apr_DAC11_P7,FeNi_DAC11_P7,0.8749,0.0013,15.099,0.1647,307.4385,9.4326,0.941,0.0004,9.0118,0.1354,2.5369,0.0198,2.3955,0.017,181.3793,2.1,2462.6,28.51,2.5217,0.1912,2.6319,0.0807,28.7058,0.845,hcp,62.96,0.78,18.066,0.035,10.497,0.02,453.1,1.0,455.9,1.1,6590.0,10.0
Apr 2012,2012Apr_DAC11_P8,FeNi_DAC11_P8,0.8807,0.0013,15.1807,0.1613,318.0506,8.8892,0.9426,0.0004,9.2274,0.1321,2.5177,0.0193,2.3243,0.0162,190.1949,2.292,2582.3,31.12,2.6165,0.1871,2.7227,0.0761,31.1785,0.8189,hcp,75.34,0.43,17.604,0.022,10.772,0.014,504.3,1.5,507.0,1.5,6861.0,11.0
Apr 2012,2012Apr_DAC11_P9,FeNi_DAC11_P9,0.8848,0.0014,15.3698,0.1684,348.1062,8.7644,0.9441,0.0004,9.5645,0.1348,2.4857,0.0214,2.2532,0.018,198.8389,2.6742,2699.7,36.31,2.8359,0.1954,2.98,0.075,34.0887,0.8345,hcp,83.46,0.78,17.332,0.028,10.941,0.018,537.8,1.9,540.5,1.9,7029.0,14.0
Oct 2012,2012Oct_DAC11_P14,FeNi_DAC11_P14,0.899,0.0012,15.6509,0.1609,388.8933,8.0982,0.9477,0.0004,10.1614,0.1294,2.4297,0.0199,2.0928,0.0157,232.4471,3.1919,3156.0,43.34,3.1621,0.1867,3.3292,0.0693,39.9171,0.7904,hcp,104.1,2.66,16.724,0.044,11.339,0.03,620.1,2.9,622.6,3.0,7410.0,20.0
Feb 2013,2013Feb_DAC14_P1,FeNi_DAC14_P1,0.7777,0.0015,14.0976,0.1216,161.888,7.3199,0.92,0.0004,6.594,0.1001,2.7388,0.0147,3.214,0.0151,91.5728,0.7246,1243.3,9.84,1.3596,0.1411,1.3859,0.0627,1.6123,0.6717,bcc,1.68,0.04,23.375,0.029,8.113,0.01,157.5,2.1,157.5,2.1,4406.0,29.0
Feb 2013,2013Feb_DAC14_P2,FeNi_DAC14_P2,0.7882,0.0018,14.1679,0.1284,171.903,7.1309,0.9219,0.0004,6.7758,0.1025,2.7242,0.0167,3.1467,0.0171,96.0442,0.9276,1304.0,12.59,1.4411,0.149,1.4716,0.061,3.9058,0.6899,bcc,4.52,0.05,22.979,0.029,8.252,0.01,174.8,1.0,174.8,1.0,4602.0,13.0
Mar 2015,2015Mar_Ambient,FeNi_Ambient,0.7754,0.0013,14.1199,0.0789,165.2841,2.9865,0.9201,0.0003,6.6274,0.0546,2.735,0.0128,3.2108,0.0137,93.7588,0.6395,1273.0,8.68,1.3855,0.0916,1.4149,0.0256,1.3938,0.3741,bcc,0.0,0.0,23.731,0.022,7.991,0.007,146.7,3.1,146.7,3.1,4285.0,45.0
