Date,Folder,Index,chi2,Det balance,Det bal stat,E/T calib,E/T calib stat,Negativity of DOS,Neg DOS stat,Norm of DOS,Norm DOS stat,LM factor,fLM stat,KE,KE stat,MFC,MFC stat,Average,Avg stat
Oct 2009,2009Oct_106GPa,Fe_Murphy_P7,1.44,1.15,A,1.69,A,0.37,O,0.7,O,0.12,O,0.04,O,1.22,A,0.65,O
Oct 2009,2009Oct_121GPa,Fe_Murphy_P8,1.09,0.18,O,0.51,O,0.27,O,0.26,O,0.2,O,0.0,O,0.61,O,0.33,O
Oct 2009,2009Oct_133GPa,Fe_Murphy_P9,0.77,0.57,O,1.25,A,0.09,O,0.65,O,0.01,O,0.21,O,0.84,O,0.49,O
Oct 2009,2009Oct_30GPa,Fe_Murphy_P1,0.88,0.34,O,0.95,O,0.32,O,0.35,O,0.17,O,0.04,O,0.3,O,0.26,O
Oct 2009,2009Oct_53GPa,Fe_Murphy_P3,0.83,0.94,O,1.68,A,0.27,O,0.38,O,0.07,O,0.24,O,0.01,O,0.24,O
Oct 2009,2009Oct_69GPa,Fe_Murphy_P4,0.58,0.6,O,0.85,O,0.12,O,0.23,O,0.08,O,0.01,O,0.18,O,0.14,O
Oct 2009,2009Oct_77GPa,Fe_Murphy_P5,1.09,0.56,O,1.13,A,0.36,O,0.51,O,0.1,O,0.12,O,0.7,O,0.43,O
Oct 2009,2009Oct_90GPa,Fe_Murphy_P6,0.87,0.87,O,1.36,A,0.64,O,0.32,O,0.31,O,0.04,O,1.59,A,0.79,O
Aug 2010,2010Aug_151GPa,Fe_Murphy_P10,1.47,0.55,O,0.16,O,0.17,O,0.2,O,0.27,O,0.25,O,0.36,O,0.26,O
Feb 2011,2011Feb_171GPa,Fe_Murphy_P11,2.29,0.0,O,0.0,O,0.37,O,0.02,O,0.17,O,0.12,O,0.95,O,0.46,O
Mar 2015,2015Mar_Ambient,Fe_Ambient,0.48,0.1,O,0.36,O,0.29,O,0.16,O,0.04,O,0.13,O,0.07,O,0.16,O
